@relation review

@attribute sentence string
@attribute aspect {character,plot,neither}

@data
'Reading Harry Potter is like reliving my childhood',plot
'What a fun witty hilarious and magical read',neither
'What can I say about my favourite part of Harry PotterMarvolousbad pun is a bad punI also freaking love every part with the Weasley twins and Percyhe grew on mewhat can I sayI actually watched the movie yesterday and Im always sad to see that the parts with them are pretty much nonexistent in the Chamber of Secrets movie ',character
'UCFred and George however found all this very funny ',neither
'They went out of their way to march ahead of Harry down the corridors shouting Make way for the Heir of SlyWhat can I say about my favourite part of Harry PotterMarvolousbad pun is a bad punI also freaking love every part with the Weasley twins and Percyhe grew on mewhat can I sayI actually watched the movie yesterday and Im always sad to see that the parts with them are pretty much nonexistent in the Chamber of Secrets movie ',plot
'UCFred and George however found all this very funny ',neither
'They went out of their way to march ahead of Harry down the corridors shouting Make way for the Heir of Slytherin seriously evil wizard coming through I MEANHOW CAN YOU NOT LOVE THEM',neither
'Favourite quotesUCAzkaban the wizard prison Goyle said Malfoy looking at him in disbelief ',neither
'Honestly if you were any slower youd be going backwardUD UCHang on ',neither
'UD Harry muttered to Ron ',neither
'UCThereUs an empty chair at the staff table ',neither
'WhereUs SnapeUDMaybe hes ill said Ron hopefully ',neither
'UCMaybe heUs leftUD said Harry UCbecause he missed out on the Defense Against the Dark Arts job againUDUCOr he might have been sackedUD said Ron enthusiastically ',neither
'UCI mean everyone hates him U UDUCOr maybeUD said a very cold voice right behind them UCheUs waiting to hear why you two didnUt arrive on the school trainUDHarry spun around ',neither
'There his black robes rippling in a cold breeze stood Severus SnapeUDUCWell youre expelling us arent you said RonNot today Mr WeasleySnape looked as though Christmas had been canceledUD UCHarry was just thinking that all he needed was for Dumbledores pet bird to die while he was all alone in the office with it when the bird burst into flamesUD UCOh get out of the way PercyUD said Fred ',plot
'UCHarryUs in a hurryUDUCYeah heUs off to the Chamber of Secrets for a cup of tea with his fanged servantUD said George chortlingUD UCYour aunt and uncle will be proud though wont they said Hermione as they got off the train and joined the crowd thronging toward the enchanted barrier ',character
'When they hear what you did this yearProud said Harry ',neither
'Are you crazy',neither
'All those times I couldve died and I didnt manage it',neither
'Theyll be furiousUD ',neither
'All finished',neither
'Looking forward to book three my plan is to read the whole series before New Year',neither
'This might seem an obvious thing but who ACTUALLY opened the Chamber of Secrets the first time',neither
'Im still not too keen on Ginny ',neither
'The Harry Potter books are all well worth reading ',plot
'I read this back when it came out my kids grew up as the books came out and were adults by the time the series finished ',neither
'The books do develop as they go along and slowly become somewhat darker volume by volume ',neither
'There is more foreshadowing here more clues and a good solid story ',neither
'Adults and children alike will like it ',neither
'Just be sure with each volume that the childyouth in question is mature enough ',plot
'Here the story is only volumes along andThe Harry Potter books are all well worth reading ',neither
'I read this back when it came out my kids grew up as the books came out and were adults by the time the series finished ',neither
'The books do develop as they go along and slowly become somewhat darker volume by volume ',neither
'There is more foreshadowing here more clues and a good solid story ',neither
'Adults and children alike will like it ',neither
'Just be sure with each volume that the childyouth in question is mature enough ',plot
'Here the story is only volumes along and still not so dark as it will getThese books are exceptionally well written and as you delve into each book you get to know the characters better and better ',plot
'Ms ',neither
'Rowling does an incredible job in constructing not only her world but its inhabitants ',neither
'But then they not only sold multiple millions of copies but seem to have inspired dozens if not hundreds of ya books and not a few adult adult reading level booksabout young wizards and wizarding schools ',neither
'Seems like Harry Potter may have been noticed ',plot
'In this one were going to find out more about the history of Hogworts and of course get clues and information that will serve us well as the series goes on ',neither
'As the students of Hogworts come under threat stories of the long rumored Chamber of Secrets begin to circulateis it real has it been opened was it ever opened before ',neither
'Will anyone dieThese are excellent books ',plot
'Warning this review has spoilers for this book and the entire seriesHarry Potter and the Chamber of Secrets is the second in the amazing Harry Potter series but it is not one of my favourites in the series ',neither
'This book is still a kids book and feels innocent with it being more morally black and white than subsequent novels ',neither
'Plus I never get how wizards can manage normal life without learning basic stuff like maths and science ',plot
'In this book during the conversation between Harry and Dumbledore iWarning this review has spoilers for this book and the entire seriesHarry Potter and the Chamber of Secrets is the second in the amazing Harry Potter series but it is not one of my favourites in the series ',neither
'This book is still a kids book and feels innocent with it being more morally black and white than subsequent novels ',neither
'Plus I never get how wizards can manage normal life without learning basic stuff like maths and science ',plot
'In this book during the conversation between Harry and Dumbledore it has a massive spoiler about the ending of Harry Potter and the Deathly Hollows particularly if you have read the HalfBlood Prince ',neither
'This and all the books in this series have so many layers where at first it seems a simple story but also a story of good vs evil and the strength of love ',plot
'The trio of friends has not really changed since the first book but Harry is a bit snappier as he has got people believing he is attacking students ',character
'I like how Hogwarts feels like another character and changes in each book ',character
'I also like Dobby as he is loveable and Lockhart who makes me smile especially with the valentines Dwarves ',neither
'Harry Potter and the Chamber of Secrets is an amazing book full of mystery and danger and I would recommend it to fans of the first book ',neither
'This and my other reviews can be found at Amethyst Bookwyrm ',neither
'Originally read I thinkRereadMost recent Sept Like all Harry Potter Books I have read this several times ',neither
'The first time was nearly years ago ',neither
'I like how we get a further look into other characters better ',character
'Hagrid Dumbledore and Draco especially ',character
'Plus we get to meet the villainous Lucius Malfoy Dracos father and Rons little sister Ginny I have mixed thoughts on her in this book ',neither
'Not to mention the houseelf Dobby who is one interesting character and very unique ',character
'The theOriginally read I thinkRereadMost recent Sept Like all Harry Potter Books I have read this several times ',neither
'The first time was nearly years ago ',neither
'I like how we get a further look into other characters better ',character
'Hagrid Dumbledore and Draco especially ',character
