@relation review

@attribute sentence string
@attribute aspect {character, plot, neither, both}

@data
Here goes Only rarely does a story come along that can so completely wrap you up in a warm blanket of contentment and good feelings ,plot
One that can hold at bay even if only for precious moments the nasty brutishness of what often passes for daily life ,neither
These stories do that ,neither
Its an escape into a world of optimism honor and hope where things always look hopeful and anything is possible ,neither
Who wouldnt want to hang around in a place like that especially when it is decorated with sorting hats kindly giants magic wands and Quidditch Granted no aspect of the story is revolutionary or even particularly noteworthy from the standpoint of blazing new trails within the fantasy genre ,neither
It isnt great literature and nothing about its technical merits makes it befitting of even a fraction of its unprecedented success ,neither
Fine acknowledged ,neither
And,neither
So what The virtue of this story is the postive feelings it conjures in its readers ,neither
Harrys story is something that radiates acceptance inclusion and friendship ,plot
It invokes a sense of belonging ,neither
Inside these pages you can find the impetus to see the better angels of humanitys nature and feel just a little better about the world around you How is that not worthy of praise As for Harry himself hes just a good kid ,neither
The quintessential everyman who makes good ,neither
A loving boy with a clear head on his shoulders and a caring heart that pumps affection for the world around him ,character
Hes someone you cant help but like ,character
Hes not perfect ,character
He makes mistakes hes occasionally short sighted and I know many of us wish he would stick up for himself a little more ,character
Maybe reduce his aunt and uncle to a pair of fatty stains on the carpet or give Dudley an atomic wedgie until his skivvies scrape against his pancreas ,neither
But thats not Harry ,neither
Hes a better person than that ,neither
Thats why we love him ,character
Maybe all of the above is a bit much ,neither
Like I said I was feeling nostalgic and maybe the gush got a tad away from me ,neither
Lets just say that these stories are perfect comfort food and reading them will make you happy ,plot
Ill certainly settle for that ,neither
As for the rating I Initially only gave this first volume stars and Im not going to change that now ,neither
As much as I love the series as a whole I dont think it reaches stratospheric heights until Harry Potter and the Goblet of Fire ,plot
Still this is where it all began ,neither
As such it should be read and savored knowing that it only gets better stars ,neither
Highly Recommended ,neither
Yes Ive been living under a rock ,neither
Its Always Great Coming back Home,neither
Theres a reason us the Fans feel that were connected no matter where we from different culture ethics ages,neither
were all like graduated from there Hogwarts were even like in the same class classmates no matter which edition we read,neither
Cause Harry Potter is not just a story its a Life The Boy Who Saved Flourished the Book Industry,plot
Its really One of the most important novels in the modern history,neither
Sorry its The Most Important ONE,neither
This Review also for those who hate the series,neither
Please bear with me,neither
Without it most of the Book stores and publishers may have the same fate of the Video stores Blockbuster LLC which despite being super popular in the s closed all the stores by shutting down forever,neither
Yes without this novel and with the rapid change in technology the ease of making ebooks and reading it in PCs Smartphones Tablets etc the publishing and trade of new paper books may decrease rapidly ,neither
Itd be limited for religious or some educating books classic and small novels even these kinds of books goes just electronic ,neither
and the books be just like an old Video TapeA Dystopia right,neither
