@relation review

@attribute sentence string
@attribute aspect {character, plot, neither, both}

@data
Hes famous his name is everywhere and he can be considered a legend for what happened ,neither
But even with all this going on Harry is still a little confused and figuring things out ,character
As Harry and Hagrid get what they need its time for Harry to go to school where he meets Ron Weasley as to what I know one of his best friends ,neither
Ron is small redhaired has freckles pale and has two twin brothers going to Hogwarts with him ,neither
Hes not accepted into the other groups and that is why he blends in with Harry and becomes his friend ,neither
Harry also meets Hermione Granger known as someone annoying and as a nightmare to them both because of how bossy and unrealistic she can be ,character
Of course they are all so small and Hermione is a little nerd that enjoys every teaching at this school so I was just like we get it Days pass and Harry is being trained ,character
Hes a neutral to broomstick flying is able to play Quidditch the most popular game in Hogwarts is given special supplies and is of course known by everyone ,character
Other than that Harry suspects his own secrets and wants to find out truths but in order to do that he must find a way to find them and figure them out ,neither
With the help of his two friends he might just be able to figure out the real reason behind him being a wizard more about his parents history about himself who this YouKnowWho person is remember his past and see how his life really will be changed forever ,neither
Humans do have a knack of choosing precisely those things that are worst for them Harry Potter was easy to read understand and there was no hesitation when it came to rating it stars ,character
Now I hate myself once again and ask myself again Why the fuck did I not read this earlier The answer is obvious because I already know it and its because I was never a fan of it ,neither
I hate speaking about my past but this is one ugly past and I hate it ,neither
I hate the choice I made and I hate myself for allowing it ,neither
But soon Ill get over it and will be able to reread this as many times as I will be able to during my last years of being a teen ,neither
Yes a year old that has not read Harry Potter simply because she chose not to when she was able to and when she was young ,neither
PATHETIC The fantasy is cute I will say ,plot
Its easy to understand and the book is easy to fly through ,plot
Its not long its not hard and its not boring ,plot
Its gripping fun and everything is filled with some kind of magical that has me turning page by page ,plot
Having no regrets anywhere I am finally able to talk about HP and the world of wizards where students learn how to make potions talk to ghosts learn about other creatures transform things into other things read minds become invisible fly in the air with a broomstick play soccer in the air have a feast and enjoy it all learn magic have a wand and just be filled with happiness because of the friends and families considered in the houses ,neither
Well I guess in most Everything was fun to read ,plot
I laughed at some parts and found the story to be more affective to me as Harry was figuring out his new and changed life ,plot
He was confused but he found out a lot more ,neither
Theres still more but I know that as he grows I will be able to follow along the late ass journey and see where he grows to and how ,character
Ill see how strong he gets and find out some strengths and weakness ,character
Ill be able to join an invisible magic carpet and fly through the series because I just want to know what happens next and how everything goes ,plot
I want to see Harry become a better person and be able to prove Draco and his stupid friends wrong about what they think ,character
I want his friendship with Ron to grow and become stronger ,character
I want Hermione to stop being so talkative and take a little break of being so bossy ,character
But more importantly I want to have a fun journey reading this and feeling like Im on an adventure ,plot
Reading it for the first time feels like one ,neither
Ive never watched the films ,neither
Ive watched parts but skipped them ,neither
Now I wont skip anything ,plot
Its like an adventure where Im dived in and cant seem to leave because Im so alive and intriguedWhat can I say about Harry Potter that others have not said,plot
Nothing ,neither
Reviews are always similar and this one might be too ,neither
Everyone loves it and so did I So will I I should say ,plot
 Yes I had trouble pronouncing some names at first but got used to it after ,neither
Yes I rolled my eyes at times because there were moments where I was annoyed ,plot
But nothing was boring and even when I rolled my eyes there was a reason for that eye rolling scene ,plot
Maybe it was Hermione being annoying or Draco being a rude boy mocking an adorable redhaired ,character
Or both ,neither
But I was also laughing ,plot
I would always laugh when it came to Hagrid ,character
